Time,AUD,CAD,CNY,EUR,GBP,JPY,KRW,PLN,USD,others
2014-10-24 00:00:00 UTC,971.48689362,1157.68477318,228431.195900003,3068.88094696,1374.93517623,729.74945509,210.76765356,747.30953011,63834.18460164,3573.1764138000003
2014-10-25 00:00:00 UTC,763.95753993,1040.34945838,307644.055400002,3345.31696556,918.30346965,597.41655998,165.88871366,506.43953533,62647.1297255101,2853.14877936
2014-10-26 00:00:00 UTC,595.96149434,766.9562793,216939.440100007,1891.34821906,776.12934212,517.13255212,155.55101213,306.90089441,42009.40478204,2381.5547961800003
2014-10-27 00:00:00 UTC,1979.91089897,1981.71612303,265466.460000007,4450.74562197,2401.67503972,1708.75019009,205.1655549,383.5131315,45891.08760358,7418.92546651
2014-10-28 00:00:00 UTC,2458.02124233,2500.05452407,222344.392800004,4410.70519385,2725.67472161,2162.33510824,138.7283422,266.99065239,30059.77703715,9472.36035424
2014-10-29 00:00:00 UTC,1647.60937773,1852.57487213,262460.538900005,4609.82872869,1931.16877196,1318.61048611,159.86976815,525.95707438,64645.8746705901,6280.09193891
2014-10-30 00:00:00 UTC,1361.41006877,1518.45503389,279083.843200005,4512.81104203,1865.36482897,1078.48551614,280.64659783,543.76137584,98366.4654276801,5276.8186233900005
2014-10-31 00:00:00 UTC,1856.86388139,1890.31080834,225168.230400003,3646.2194191,2022.87384528,1593.08742854,165.43361736,399.70529775,48936.13469421,7103.04319317
2014-11-01 00:00:00 UTC,401.55698343,715.64185589,247831.210400003,2952.11763273,598.93616112,319.53998172,106.8202827,700.30207581,61126.13750662,1875.3583158200004
2014-11-02 00:00:00 UTC,609.21903414,740.16181785,188346.162300002,2238.24445733,779.80158152,524.16170535,172.98296738,242.95118937,36810.72538059,2745.9207010399996
2014-11-03 00:00:00 UTC,898.71073891,1115.11640568,256240.622400004,3338.43537665,1420.57035242,620.10863898,312.72472016,402.29825677,50321.12281367,3188.6505035100004
2014-11-04 00:00:00 UTC,1313.8263646,1344.81231086,386978.047200004,4483.18759984,1778.96117639,1008.71044259,142.30191702,448.37722498,56264.71021341,4718.15251791
2014-11-05 00:00:00 UTC,1214.50588053,1277.13372834,357864.685300006,4124.02085384,2411.63924657,785.78775052,294.76632341,588.62730372,69812.0901762,3994.3174895399998
2014-11-06 00:00:00 UTC,1662.6562537,1802.02133776,354123.521700003,5042.30806024,1972.64790477,1427.20543575,321.7008848,586.80773575,66178.42129937,6512.650987859999
2014-11-07 00:00:00 UTC,747.54672206,835.25444563,447020.341100005,2736.54434415,850.97671209,431.94925209,273.28650225,345.01382975,49496.13607991,2706.89942219
2014-11-08 00:00:00 UTC,450.54934549,625.07760288,229436.212400002,2066.78284716,634.03640906,387.68340906,79.95920333,187.87241473,24683.04344652,2132.8661641800004
2014-11-09 00:00:00 UTC,802.0775528,971.38456558,307374.117100004,2770.5648731,1123.23121504,718.29801504,121.98757461,376.2052853,70694.2070516,3679.14470827
2014-11-10 00:00:00 UTC,1787.07684696,1994.60690343,474954.198200008,5169.51565067,2173.68027861,1441.03922661,279.69046812,804.80026336,87067.57189545,6539.45948256
2014-11-11 00:00:00 UTC,1854.52375656,1873.92518242,304767.932100015,3937.92175978,2037.1211323,1534.4824915,122.04818238,376.55013573,42518.0675151,6774.144443810001
2014-11-12 00:00:00 UTC,1920.79910484,2416.92953846,1033139.08759,8726.10916872,2308.81316508,1604.55839409,531.82047614,1786.37556193,219283.13071559,7811.175301880001
2014-11-13 00:00:00 UTC,980.3800976,1480.02936747,1434524.04569997,9485.09681153,1316.4751487,732.08778643,689.96736268,1962.01338943,290368.63652025,4412.787202870001
2014-11-14 00:00:00 UTC,1124.20797911,1156.73755742,1150457.96959,4648.19869946,1206.78826497,804.31763612,204.91195921,818.26298233,134245.87720034,3963.0320200000006
2014-11-15 00:00:00 UTC,494.23268449,921.77502521,516191.283600012,3042.52823163,692.85734503,423.30419469,153.02331061,630.80484051,83278.0343398,2266.75696213
2014-11-16 00:00:00 UTC,675.39390513,858.66936712,469832.54770001,2462.25538563,877.99301071,602.28528112,56.54207562,373.89508866,57754.74604233,2824.7863884999997
2014-11-17 00:00:00 UTC,768.52627678,1064.43458707,707889.31999002,4964.25610099,1049.24918982,510.25841083,233.83398543,1118.05775862,115369.79862226,2986.16697291
2014-11-18 00:00:00 UTC,926.5515719,1009.55790319,524764.41070002,4128.21331628,1094.66049003,574.30617001,376.39305183,865.71068489,90895.5669155899,3060.8338800999995
2014-11-19 00:00:00 UTC,888.15846587,1039.97064585,399166.555800009,3218.06104339,1152.34755987,613.38815147,413.82357453,742.71499817,55758.16614271,3244.5836891500003
2014-11-20 00:00:00 UTC,526.10029765,1052.92203757,446216.149900007,4112.53720654,1130.75641604,424.05934905,270.36735452,894.03097659,72581.42666253,2411.9106603200007
2014-11-21 00:00:00 UTC,815.05886286,999.08830229,446553.860400008,3535.83731152,889.6446334,472.77869121,367.76511405,758.92362522,87358.67728263,2806.5296918800004
2014-11-22 00:00:00 UTC,271.78911878,646.63492699,355862.065700006,2002.98696371,414.4926066,206.64885889,129.97217819,258.83201038,42605.66267036,1404.3314881000003
2014-11-23 00:00:00 UTC,101.80832513,253.02580184,331589.884200004,2018.89001723,223.69406804,35.53653042,142.58369676,267.25493552,40474.80570131,652.6567276699999
2014-11-24 00:00:00 UTC,958.05283038,1430.61552378,565904.034000018,4732.29894154,1269.17909729,717.63284571,369.81193788,952.18371488,89411.34694754,3651.7699576800005
2014-11-25 00:00:00 UTC,753.47902749,950.81757484,615540.921400014,3695.5226055,1096.71975079,431.50411731,292.60141842,745.40676611,93408.59503359,2586.33206357
2014-11-26 00:00:00 UTC,700.76818802,799.4664436,460457.860900017,3577.80749964,949.21818067,396.75813372,258.29890504,502.12326153,58961.35254438,2288.0862851800002
2014-11-27 00:00:00 UTC,935.74374515,1056.17483949,338992.001100008,2872.00743792,1226.09545388,720.49882429,318.33048216,756.13787098,28075.36676091,3433.4592353499997
2014-11-28 00:00:00 UTC,1350.34628852,1525.30692499,455419.530800015,5047.71600019,1494.36997741,1051.91668288,454.83488259,471.06614049,81654.5464600199,5002.35938622
2014-11-29 00:00:00 UTC,199.14922431,442.73120427,519951.127100013,2022.12912143,366.36089711,96.83120711,150.31500044,265.72245048,104820.03971294,858.5005979599998
2014-11-30 00:00:00 UTC,203.83533131,332.5427966,320739.783800006,1625.68789775,488.28726352,108.05849903,144.43293697,230.04423166,27016.45339891,852.59370341
2014-12-01 00:00:00 UTC,1641.49474003,1700.47098548,328560.684900007,3542.12345959,1964.88977407,1308.43232039,224.98922813,325.73412533,35360.53573436,6117.478171949999
2014-12-02 00:00:00 UTC,1505.53356851,1549.48462209,302979.835600005,3932.42641584,1913.09823647,1177.74914275,209.12992273,606.24403749,39877.39612353,5667.64554452
2014-12-03 00:00:00 UTC,1376.87975817,1479.38434216,320502.686500005,3532.20990737,1702.25010316,1112.98712378,199.85456504,552.74112149,46116.02973725,5255.09143533
2014-12-04 00:00:00 UTC,1155.77724147,1199.85974743,293070.671400007,4008.10617708,1465.42845421,880.0795455,307.26682966,377.0047132,50209.54382014,4126.921185379999
2014-12-05 00:00:00 UTC,1030.0335539,1079.00479871,297124.978000005,3320.53441588,1183.95563393,651.46323898,208.75624293,354.14319667,53542.93929096,3228.436506509999
2014-12-06 00:00:00 UTC,548.24953934,633.26120971,278035.260800006,1924.2409807,729.82701926,444.27501926,109.05375476,194.10888522,24868.21695782,2304.3753010799996
2014-12-07 00:00:00 UTC,516.25530554,542.03678152,176772.304700001,1439.40012202,683.28142442,376.63434442,128.05470751,206.82239927,17394.88667998,1944.5207449000004
2014-12-08 00:00:00 UTC,560.30934988,528.62086411,359855.08370001,3577.40249646,748.18054976,142.68649,295.30367272,979.41925983,52255.96011078,1344.2614027999998
2014-12-09 00:00:00 UTC,324.90866008,667.30943567,477513.003700005,5266.34313636,627.5695,5.77294421,306.74271463,1135.90580417,89832.3932674,1067.824466
2014-12-10 00:00:00 UTC,332.39488876,549.24775682,258479.113500002,2900.51519456,548.82754082,4.387,236.06755522,418.86975935,48401.91904305,943.585344
2014-12-11 00:00:00 UTC,358.98388906,474.96672484,582083.628400011,4046.48395372,520.3353,8.89394241,530.55925818,655.26678926,95099.8084799,1020.7867471400002
2014-12-12 00:00:00 UTC,329.25372362,791.30891067,262543.244700004,2423.58323523,429.481,3.973,257.12997434,425.82046461,46393.53337948,719.24110074
2014-12-13 00:00:00 UTC,99.34021164,211.20874059,232247.865000002,2078.55994618,255.2565,3.5772,230.21150167,134.56297967,33173.78849673,521.13768643
2014-12-14 00:00:00 UTC,97.15914548,178.86476338,196457.374300001,2142.8817924,235.6053,8.08611627,87.7098243499999,171.93837147,34399.12234881,475.66385915999996
2014-12-15 00:00:00 UTC,614.34302756,624.13906532,150979.0039,2805.27347749,846.16531765,263.46843392,341.39197643,1102.16130519,49993.81983554,2111.40670494
2014-12-16 00:00:00 UTC,1623.48849647,1508.57189477,371199.445900011,6209.65546433,1688.12938987,1029.5693797,881.933805130001,1177.11487979,93245.3707571,5592.254966649999
2014-12-17 00:00:00 UTC,1751.62694502,1792.70599627,415683.388500013,6203.53647888,1905.49967791,1242.26607688,786.233412140001,967.10536536,114743.02327654,6381.974547820001
2014-12-18 00:00:00 UTC,1797.52497939,1949.40459504,504955.470100008,5708.90008259,1984.15033015,1214.75014933,869.24847135,839.7417125,124712.08767165,6463.53527974
2014-12-19 00:00:00 UTC,1968.94296221,2157.44415413,305879.275100005,5106.9888739,2113.14562605,1562.503503,509.28600123,860.94243784,75833.57848295,7027.55243465
2014-12-20 00:00:00 UTC,445.8222335,552.51623534,375207.246400009,3608.4533245,632.34325717,298.34699717,390.78673232,518.68497684,60607.46848257,1916.36730052
2014-12-21 00:00:00 UTC,416.18975443,482.45461712,263468.781600002,2165.47718508,537.24983146,283.86017989,202.9086394,379.12039451,45946.4183310101,1681.1345977499998
2014-12-22 00:00:00 UTC,2042.9124822,2108.60576934,283293.201100004,5305.33541953,2179.46683054,1611.27061671,364.0460386,766.6160792,66406.4684768601,7285.999168230001
2014-12-23 00:00:00 UTC,1061.50415136,793.84343226,338470.028500006,3841.56177755,1177.76229098,607.48721509,335.32696271,770.77116309,48473.99069323,3483.4039764
2014-12-24 00:00:00 UTC,1155.27336336,963.12771605,192350.544400002,3163.75617918,1083.79133234,716.81536138,270.67175824,395.66257735,45262.76324148,3673.24240732
2014-12-25 00:00:00 UTC,87.637953,440.50236045,228833.011300003,1427.15189071,123.42424969,39.7625233,424.24078879,192.19455831,27366.45388626,714.3431527800001
2014-12-26 00:00:00 UTC,325.66701721,361.41145206,268984.452100006,2007.7247046,430.07904606,241.76456202,277.34276078,287.7986127,47856.31310062,1613.8985757799999
2014-12-27 00:00:00 UTC,342.49794938,402.92220945,438415.761100003,1922.22704934,440.98952306,230.98649211,294.13587191,203.08364811,45545.59910845,1602.2657461600004
2014-12-28 00:00:00 UTC,220.75066628,251.81693022,201733.083200003,1330.5381429,455.08890383,126.38180383,121.78766953,374.69530746,34929.01306107,950.8565641399999
2014-12-29 00:00:00 UTC,1782.86512639,1757.11490111,306799.780700005,3743.05440658,1945.15743418,1427.71783418,185.14540169,604.5790585,37162.66616882,6805.939474870001
2014-12-30 00:00:00 UTC,1411.2269665,1421.76717282,211226.443700003,3650.21670879,1561.85202906,1095.87490735,417.54698296,1471.02458322,38526.6886435,5280.1965307499995
2014-12-31 00:00:00 UTC,1246.96392035,1240.24051718,210811.924500001,2530.09542664,1216.4551618,971.5554618,343.66051378,1093.95200633,42026.78851242,4578.969631700001
2015-01-01 00:00:00 UTC,411.69864514,528.76576541,143213.5787,1337.96755878,492.59270487,316.82380487,297.49022352,134.33652605,22527.77424668,1589.15565746
2015-01-02 00:00:00 UTC,1427.17595731,1431.45987636,118856.8259,3178.4232351,1658.88054535,1204.69817355,229.62490476,539.8082353,23679.442883,5365.528806230001
2015-01-03 00:00:00 UTC,838.14072071,1021.12991326,356039.275000014,4918.16926222,1075.7340956,659.3896956,307.11204217,957.27472045,116266.77103029,3568.3256730299995
2015-01-04 00:00:00 UTC,761.38032617,1188.37835452,629341.504300015,8080.661032,1099.1240617,625.48563449,616.49287842,1488.85975286,192403.04280648,3641.30619175
2015-01-05 00:00:00 UTC,1083.01408445,1004.79672515,470707.077000011,8085.06026252,1567.43231241,603.00187652,678.92803898,1028.17849637,121951.97343021,3376.975785519999
2015-01-06 00:00:00 UTC,1462.08074725,1379.66716289,301193.947700003,7816.72839582,1813.96022382,1085.14592773,258.92121925,816.46052376,75381.29973861,4945.459165530001
2015-01-07 00:00:00 UTC,1295.15774099,1059.92284223,339997.161400006,6939.92224093,1404.69036086,762.42029658,342.37292766,953.41261801,77354.3541963401,3988.58480069
2015-01-08 00:00:00 UTC,2084.35896047,2057.24340507,269418.922300003,6181.55995012,2278.50112303,1582.01138408,500.77839475,1319.09615037,65351.17338978,7253.660859359999
2015-01-09 00:00:00 UTC,1840.0281835,1862.83536219,248380.445500003,5790.15701524,2154.58153229,1542.36257703,281.18591192,726.18112053,72267.07787221,7148.627153069999
2015-01-10 00:00:00 UTC,2218.20726157,2393.83498932,280928.985600005,5516.04739045,2363.90794803,2055.20225184,600.77729574,562.78907717,79692.82164084,8988.216406180001
2015-01-11 00:00:00 UTC,1725.36387727,1791.02511152,240863.457900003,4999.57433814,1931.94770306,1565.36900306,297.49044236,530.23455116,62493.49775535,6971.968079540002
2015-01-12 00:00:00 UTC,2068.62823284,1949.50716448,256186.096700003,5509.12666163,2337.1788251,1646.31567367,257.08646638,1541.97757936,64574.61016962,7670.818415849999
2015-01-13 00:00:00 UTC,3251.76996121,3634.77169362,739932.678800029,16505.65634009,3802.68958248,2386.02630447,848.11302667,3355.30332488,305068.037851333,12163.099181429998
2015-01-14 00:00:00 UTC,2511.99078039,3360.44173916,901543.12800002,20919.09429452,3213.62348948,1884.44701374,2129.87658534,3457.05285199,513178.647564081,10630.611218099999
2015-01-15 00:00:00 UTC,1674.81730291,1869.64117587,883512.440200028,16922.26042099,2207.46743508,1157.30510271,1242.06233607,4550.43577723,361953.811843331,7144.948810169999
2015-01-16 00:00:00 UTC,1426.97152308,1739.67964783,713323.561900025,8873.66902578,1905.17611672,955.3735587,547.28718726,2467.65319931,169147.61403851,5690.15537203
2015-01-17 00:00:00 UTC,1801.7775686,2001.06460645,453995.66690002,5522.11245383,1995.63921562,1567.11881562,594.71901549,1007.18337724,108060.16174125,7575.021171440001
2015-01-18 00:00:00 UTC,1017.63278426,1392.16840719,549684.656100011,6750.82720314,1303.78693438,822.3139162,556.07419164,1683.05256362,129771.72078794,4493.05987983
2015-01-19 00:00:00 UTC,2240.21359716,2038.26779312,443496.786900014,6581.27107594,2283.43059697,1478.28351548,543.55609564,1277.30686888,79485.58570791,7592.160276879999
2015-01-20 00:00:00 UTC,1754.33506523,1752.61952265,379054.320100015,7658.1073349,2004.53832927,1156.23629845,486.99774212,1377.56645713,104256.65618157,6243.15940656
2015-01-21 00:00:00 UTC,1295.98280133,1428.09897463,355780.127300029,8136.57884927,1640.45021494,693.90315331,748.10670524,1113.61215862,124373.00076379,4913.8414147799995
2015-01-22 00:00:00 UTC,975.809942,1344.03521458,550766.590300034,8839.54774044,1388.84986745,513.96178341,649.9917089,1907.02799956,129843.22711615,3743.633319900001
2015-01-23 00:00:00 UTC,801.98208769,1127.17637219,477063.127800017,6241.58320133,1146.44038664,472.38762382,562.36006068,1155.51325727,96873.15712311,3858.6958451200007
2015-01-24 00:00:00 UTC,390.88401344,1021.56863259,479226.096900029,5615.05360348,803.55813468,279.78779226,334.43815866,1305.67520283,91696.8497292799,2407.687952309999
2015-01-25 00:00:00 UTC,240.8281011,742.20645589,467027.131200034,5823.58939493,607.22542284,122.90127291,711.37377793,1322.06400433,121097.17442373,1489.0464966499999
2015-01-26 00:00:00 UTC,1596.92344162,2795.34826052,1166147.75990003,16826.76882689,2421.91867391,1427.93695755,1684.1972602,4971.09633184,367732.98192324,8725.954457460002
2015-01-27 00:00:00 UTC,1550.60014965,1701.85912257,628583.681700052,8961.64674068,1803.76085055,1121.624058,544.71463587,1435.64673119,157520.78190285,6814.293386859999
2015-01-28 00:00:00 UTC,1802.26897264,2149.29934097,444501.39660003,8999.23667084,1789.30805825,1214.40270312,894.6961221,1550.7061844,184338.48835359,6946.648682500001
2015-01-29 00:00:00 UTC,1193.75055181,1425.54119235,591339.111570023,9046.5424087,1545.82459341,752.76721458,867.77669813,1592.30768352,133722.91836874,4683.84702993
2015-01-30 00:00:00 UTC,1784.08244803,1964.77758798,469108.603900025,5931.92690356,2065.32104525,1390.88907229,607.37981502,920.8446366,117281.68407924,6891.502823700001
2015-01-31 00:00:00 UTC,1420.50723304,1776.48532876,421220.398200027,4980.63541062,1559.33393037,1271.86299037,1047.49378067,782.24453263,105222.4350723,6150.58091455
2015-02-01 00:00:00 UTC,1266.22284406,1399.59460298,434026.725100083,7147.36827596,1493.73984993,1089.66223107,979.11872553,1263.09245471,125351.41946859,5706.965989429999
2015-02-02 00:00:00 UTC,1529.67191248,1556.29698299,470451.591500053,7620.35192074,1888.39191707,968.54036318,870.69571376,1254.57398521,118582.43853146,5673.05793887
2015-02-03 00:00:00 UTC,1306.613224,1361.1433177,602852.594900056,9887.6665782,1668.56693303,742.50616886,1192.5318346,2043.71770997,164978.84650033,4802.82219004
2015-02-04 00:00:00 UTC,1409.77199315,1408.41745601,383103.811900041,6468.82488252,1673.34827711,774.10979393,472.42427276,1278.04846781,111657.45989393,4723.046107070001
