"time","guessed_miner","transaction_count"
"2015-11-28 12:17:04","21 Inc.",1000
"2015-11-28 06:19:45","21 Inc.",856
"2015-11-28 01:30:10","21 Inc.",1634
"2015-11-27 18:21:37","21 Inc.",1164
"2015-11-27 08:34:26","21 Inc.",1167
"2015-11-27 02:38:41","21 Inc.",698
"2015-11-26 23:04:32","21 Inc.",1973
"2015-11-26 21:31:45","21 Inc.",374
"2015-11-26 21:21:37","21 Inc.",172
"2015-11-26 14:57:04","21 Inc.",1256
"2015-11-26 12:45:38","21 Inc.",1759
"2015-11-26 11:58:24","21 Inc.",672
"2015-11-26 07:12:50","21 Inc.",2116
"2015-11-26 03:57:21","21 Inc.",2260
"2015-11-25 09:56:50","21 Inc.",1429
"2015-11-25 05:13:53","21 Inc.",1089
"2015-11-25 02:10:25","21 Inc.",300
"2015-11-25 01:16:18","21 Inc.",247
"2015-11-25 00:47:46","21 Inc.",933
"2015-11-24 12:23:15","21 Inc.",669
"2015-11-24 04:14:56","21 Inc.",238
"2015-11-24 02:02:26","21 Inc.",2762
"2015-11-23 22:26:10","21 Inc.",1722
"2015-11-23 17:49:20","21 Inc.",1684
"2015-11-23 15:55:13","21 Inc.",1256
"2015-11-23 09:37:20","21 Inc.",1074
"2015-11-23 06:50:57","21 Inc.",384
"2015-11-23 06:16:16","21 Inc.",1676
"2015-11-23 05:45:04","21 Inc.",104
"2015-11-22 13:23:30","21 Inc.",1544
"2015-11-22 12:56:34","21 Inc.",2052
"2015-11-22 11:08:49","21 Inc.",417
"2015-11-22 04:05:52","21 Inc.",640
"2015-11-22 02:37:52","21 Inc.",280
"2015-11-21 22:02:10","21 Inc.",2030
"2015-11-21 21:24:00","21 Inc.",274
"2015-11-21 21:08:32","21 Inc.",1082
"2015-11-21 17:46:57","21 Inc.",528
"2015-11-21 17:25:53","21 Inc.",719
"2015-11-21 04:13:52","21 Inc.",835
"2015-11-21 03:56:32","21 Inc.",705
"2015-11-21 03:21:20","21 Inc.",1470
"2015-11-21 01:24:00","21 Inc.",2176
"2015-11-20 15:11:29","21 Inc.",1845
"2015-11-20 01:54:57","21 Inc.",620
"2015-11-20 01:52:17","21 Inc.",215
"2015-11-19 23:48:16","21 Inc.",629
"2015-11-19 17:03:29","21 Inc.",1026
"2015-11-19 05:23:28","21 Inc.",1761
"2015-11-19 02:08:49","21 Inc.",386
"2015-11-19 01:53:39","21 Inc.",1898
"2015-11-19 00:54:42","21 Inc.",3140
"2015-11-18 21:18:56","21 Inc.",483
"2015-11-18 19:05:38","21 Inc.",1190
"2015-11-18 18:10:40","21 Inc.",1356
"2015-11-18 17:40:18","21 Inc.",1881
"2015-11-18 15:57:37","21 Inc.",618
"2015-11-18 15:53:22","21 Inc.",630
"2015-11-18 15:35:30","21 Inc.",277
"2015-11-18 14:55:13","21 Inc.",1095
"2015-11-18 11:06:40","21 Inc.",609
"2015-11-18 01:31:12","21 Inc.",1227
"2015-11-17 18:40:18","21 Inc.",555
"2015-11-17 16:35:13","21 Inc.",1961
"2015-11-17 14:33:04","21 Inc.",1998
"2015-11-17 07:05:04","21 Inc.",1345
"2015-11-17 06:17:21","21 Inc.",162
"2015-11-16 23:43:12","21 Inc.",1561
"2015-11-16 23:35:14","21 Inc.",1026
"2015-11-16 13:22:08","21 Inc.",1286
"2015-11-16 08:54:24","21 Inc.",1191
"2015-11-16 04:03:30","21 Inc.",829
"2015-11-15 18:18:57","21 Inc.",1062
"2015-11-15 12:55:46","21 Inc.",957
"2015-11-15 04:00:32","21 Inc.",581
"2015-11-15 02:33:38","21 Inc.",1976
